hour,DNI
0,0
0.5,0
1,0
1.5,0
2,0
2.5,0
3,0
3.5,0
4,0
4.5,0
5,76
5.5,176
6,131
6.5,414
7,611
7.5,673
8,721
8.5,760
9,791
9.5,820
10,849
10.5,863
11,875
11.5,882
12,888
12.5,888
13,884
13.5,879
14,874
14.5,864
15,851
15.5,831
16,804
16.5,770
17,726
17.5,673
18,605
18.5,510
19,378
19.5,186
20,0
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,76
29.5,176
30,131
30.5,414
31,611
31.5,673
32,721
32.5,760
33,791
33.5,820
34,849
34.5,863
35,875
35.5,882
36,888
36.5,888
37,884
37.5,879
38,874
38.5,864
39,851
39.5,831
40,804
40.5,770
41,726
41.5,673
42,605
42.5,510
43,378
43.5,186
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0
49,0
49.5,0
50,0
50.5,0
51,0
51.5,0
52,0
52.5,0
53,76
53.5,176
54,131
54.5,414
55,611
55.5,673
56,721
56.5,760
57,791
57.5,820
58,849
58.5,863
59,875
59.5,882
60,888
60.5,888
61,884
61.5,879
62,874
62.5,864
63,851
63.5,831
64,804
64.5,770
65,726
65.5,673
66,605
66.5,510
67,378
67.5,186
68,0
68.5,0
69,0
69.5,0
70,0
70.5,0
71,0
71.5,0
72,0
72.5,0
73,0
73.5,0
74,0
74.5,0
75,0
75.5,0
76,0
76.5,0
77,76
77.5,176
78,131
78.5,414
79,611
79.5,673
80,721
80.5,760
81,791
81.5,820
82,849
82.5,863
83,875
83.5,882
84,888
84.5,888
85,884
85.5,879
86,874
86.5,864
87,851
87.5,831
88,804
88.5,770
89,726
89.5,673
90,605
90.5,510
91,378
91.5,186
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,76
101.5,176
102,131
102.5,414
103,611
103.5,673
104,721
104.5,760
105,791
105.5,820
106,849
106.5,863
107,875
107.5,882
108,888
108.5,888
109,884
109.5,879
110,874
110.5,864
111,851
111.5,831
112,804
112.5,770
113,726
113.5,673
114,605
114.5,510
115,378
115.5,186
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,76
125.5,176
126,131
126.5,414
127,611
127.5,673
128,721
128.5,760
129,791
129.5,820
130,849
130.5,863
131,875
131.5,882
132,888
132.5,888
133,884
133.5,879
134,874
134.5,864
135,851
135.5,831
136,804
136.5,770
137,726
137.5,673
138,605
138.5,510
139,378
139.5,186
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
